Index,Title,Link,Duration,Published At
62,"LUR OSOA EGIOZU IRRINTZI JAINKOARI",https://www.youtube.com/watch?v=BFnkYKEqlV4,"47s","30/09/2023"
63,"KRISTOREKIN GUK FEDE BERA,  BATAIO BERA, BERA JAINKOA",https://www.youtube.com/watch?v=K_rZ7mpMscA,"3m 31s","09/01/2022"
64,"POZ POZIK NATORKIZU JESUS",https://www.youtube.com/watch?v=rAbESJlkwdw,"5m 28s","06/07/2021"
65,"EGUBERRI ON DENOI IN SOLIDUM APEZ TALDEAREN PARTETIK/ FELIZ NAVIDAD A TODOS",https://www.youtube.com/watch?v=DHLB3ovVLlQ,"2m 9s","24/12/2021"
66,"SANCTUS EUSKERAZ VII (DIREN GUZTIEN JAINKO JAUNA)",https://www.youtube.com/watch?v=4Zkivj4xmLM,"1m 31s","19/02/2023"
67,"GURE AITA ""BERRIA""",https://www.youtube.com/watch?v=P3bfYBRpdcc,"1m 32s","25/08/2024"
68,"NERE AMA TXIT LAZTANA",https://www.youtube.com/watch?v=eiZa7oKNzdc,"1m 53s","15/03/2022"
69,"SAN MIGELEN LAPURRETAREN BERTSOAK",https://www.youtube.com/watch?v=66HWbGvQgtg,"3m 50s","24/04/2022"
70,"SAN ROKEREN BERTSOAK. ARANO",https://www.youtube.com/watch?v=ryWhNAlEAMc,"13m 28s","15/08/2021"
71,"HAUR TXIKI EDER POLIT BAT",https://www.youtube.com/watch?v=gcdB3ETr5k4,"1m 20s","06/01/2024"
72,"MAITE ZAITUGUN AMA BIRJINA MARIA",https://www.youtube.com/watch?v=soTnlvBQblM,"1m 30s","25/11/2021"
73,"AGUR MARIA GURE POZA",https://www.youtube.com/watch?v=r7AuJDuINOI,"1m 40s","16/02/2022"
74,"SANCTUS EUSKERAZ V",https://www.youtube.com/watch?v=oAzhxtWDKik,"1m 2s","11/12/2022"
75,"AMA MARIARI",https://www.youtube.com/watch?v=l01JTwIiimY,"2m 37s","10/11/2024"
76,"AINTZA ZERUETAN JAINKOARI",https://www.youtube.com/watch?v=aT6W3yM90nw,"3m ","23/06/2023"
77,"ZATOZ JAUNA, ZATOZ LURRERA",https://www.youtube.com/watch?v=XJjOOvlTuzk,"1m 15s","04/12/2022"
78,"MESIAS SARRITAN AGINDU ZANA",https://www.youtube.com/watch?v=monWpBEQeVo,"5m 44s","25/12/2024"
79,"AZKEN AFARI EZKEROZ JAUNA",https://www.youtube.com/watch?v=Y1uCXZgLHtc,"3m 20s","07/07/2024"
80,"FUI TROVADOR ME LLAMABAN FRANCISCO",https://www.youtube.com/watch?v=Vcc1HLHiBI8,"1m 35s","04/10/2023"
81,"JAUNGOIKO SANTUA, JAUNGOIKO INDARTSUA, JAUNGOIKO HILEZKORRA",https://www.youtube.com/watch?v=WdE5MNWUbfo,"1m 43s","13/06/2022"
82,"GABEKO IZAR ARGITSUENA",https://www.youtube.com/watch?v=JvPNmmQoSf0,"1m 26s","03/01/2022"
83,"AGUR AMA ERRUKIZ BETEA",https://www.youtube.com/watch?v=yNYpce0fDic,"2m 9s","09/06/2024"
84,"ESKAINTZETAKO DANTZA/ DANÇA DO OFERTORIO. (HUAMBO-ANGOLA)",https://www.youtube.com/watch?v=pvcizD6S2o0,"4m 42s","20/11/2023"
85,"AITA TXIT MAITE FRANTZISKO SANTUA (SAN FRANTZISKO XABIERRI KANTA) [ARRARATS]",https://www.youtube.com/watch?v=GS5t4LnU6UI,"1m 48s","03/12/2023"
86,"NABUCCO. GIUSEPPE VERDI. VA PENSIERO (EUSKERAZ). LEITZA",https://www.youtube.com/watch?v=xfbakbuBvHM,"4m 40s","08/01/2023"
87,"MANTXARIK GABE",https://www.youtube.com/watch?v=7rUPKVW75n4,"3m 56s","08/12/2021"
88,"POZEZ BETERIK GOAZEN MARIARENGANA/ MAIATZEKO LOREAK. ARANO",https://www.youtube.com/watch?v=2IAanYR-GP4,"2m 4s","15/05/2022"
89,"GLORIA (REFICE) SAN SEBASTIAN EGUNA 2025",https://www.youtube.com/watch?v=2_RB5qacqbE,"6m 5s","20/01/2025"
90,"LEITZAKO MELODIAK ORGANOAN. SAN TIBURTZIO 2021",https://www.youtube.com/watch?v=4czpTuD69S0,"2m 6s","11/08/2021"
91,"AINGERUAK MARIARI DIO GRAZIZ BETEA",https://www.youtube.com/watch?v=VCxIxn6aUcg,"1m 40s","28/10/2023"
92,"HAU DA EGUNA, JAUNARENA",https://www.youtube.com/watch?v=9ybQuVuWKEk,"2m 20s","22/04/2024"
93,"MENDIALDETIK DATOZ ARTZAIAK (KANTA ALLELUIA)",https://www.youtube.com/watch?v=E2CYyWVIAqM,"1m 33s","27/12/2021"
94,"AGUR HOSTI LEUN TA GARBI",https://www.youtube.com/watch?v=0_QLMWltiiI,"2m ","17/02/2022"
95,"ZU ZERA GURE POZA",https://www.youtube.com/watch?v=sdD6WOExRHQ,"1m 41s","15/09/2024"
96,"NERE AMA TXIT LAZTANA II (BESTE DOINU BATEKIN)",https://www.youtube.com/watch?v=ESJXWBS38DM,"1m 24s","02/01/2024"
97,"OI BETHLEEM",https://www.youtube.com/watch?v=ig8N9dsYifk,"1m 57s","25/12/2023"
98,"SANCTUS EUSKERAZ X (HOSANNA HOSANNA ZERU GOIENETAN)",https://www.youtube.com/watch?v=aZ1LnHsshSQ,"1m 56s","13/10/2024"
99,"JAUNGOIKOA NAHI DUGU DENOK LARRAUNGO HERRI HONTAN",https://www.youtube.com/watch?v=XVXYrHfGvJk,"2m 19s","09/10/2022"
100,"AFALONDOAN XUTITU ZEN JESUS",https://www.youtube.com/watch?v=AXGrIGLkmZA,"2m 33s","14/04/2022"
101,"KYRIE (BATTMANN) . 2023 ko EGUBERRI EGUNEKO MEZETAN. LEITZA",https://www.youtube.com/watch?v=USNxsy8X29Y,"3m 6s","25/12/2022"
102,"GLORIA (BATTMANN) EGUBERRI EGUNA 2024",https://www.youtube.com/watch?v=r46GDOdzcgA,"5m 18s","25/12/2024"
103,"JAUN ONA MUNDUA SALBATZERA ETORRI GUGANA ZERUTIK",https://www.youtube.com/watch?v=chhEfDipu84,"2m 32s","22/12/2024"
104,"BIHOTZ GARBIA GUGAN SORTU",https://www.youtube.com/watch?v=gvkEe915MYg,"2m 43s","23/12/2021"
105,"KRISTO JAUNA PIZTU DA",https://www.youtube.com/watch?v=E_WNawdc8bk,"1m 32s","31/03/2024"
106,"AINTZA AITARI, AINTZA BIZI DEN SEMEARI, AINTZA ESPIRITU SANTUARI",https://www.youtube.com/watch?v=PWUCrPec9nI,"2m 20s","04/06/2023"
107,"JAUNA ZUGANA GATOZ",https://www.youtube.com/watch?v=0H7GXR1AnQI,"56s","26/03/2023"
108,"GLORIA PASTORELA. ERREGE EGUNEKO MEZA NAGUSIAN. LEITZA",https://www.youtube.com/watch?v=9OCFqh09mw8,"6m 23s","06/01/2023"
109,"SANCTUS EUSKERAZ IX (SANTU SANTUA)",https://www.youtube.com/watch?v=4bJPZI-Vj44,"1m 35s","29/09/2024"
110,"ZURE HITZA ENTZUTERA",https://www.youtube.com/watch?v=TzR_kVWAfGo,"58s","02/08/2024"
111,"ALLELUIA/AINTZA JAUNA",https://www.youtube.com/watch?v=Q4Wm9DggDgM,"57s","28/05/2023"
112,"IZAN ZAITEZ BETI",https://www.youtube.com/watch?v=VaTilY3v33k,"2m 7s","24/11/2024"
113,"ELURRA MARA-MARA",https://www.youtube.com/watch?v=0KSz7thyDv8,"3m 6s","12/01/2025"
114,"ZUK EMAN JAUNA ARNAS BERRI",https://www.youtube.com/watch?v=2A4MP1T56pk,"57s","02/04/2023"
115,"PIZTU ZAIGU GURE JAUNA",https://www.youtube.com/watch?v=avHEV8yY9RE,"1m 20s","17/11/2024"
116,"ZABAL BIHOTZOK ERRUKIRAKO",https://www.youtube.com/watch?v=GpQm05GjVBg,"1m 30s","13/01/2025"
117,"JESUS GURE JAUN MAITE AMODIOTSUA",https://www.youtube.com/watch?v=n3uRHqo__PY,"1m 46s","23/03/2022"
118,"SALBA GAITZAZU ATOZ JAUNA",https://www.youtube.com/watch?v=Y_ShpVGInH4,"3m 18s","01/12/2024"
119,"SANTA LUZIAREN BERTSOAK. ARRUITZ",https://www.youtube.com/watch?v=f9UroW86wr0,"2m 30s","13/12/2021"
120,"MANUEL HUICI BERTSOTAN. SAN ROKE 2021. ARANO",https://www.youtube.com/watch?v=HpVFrhJenSI,"6m 48s","16/08/2021"
121,"BERTAN DAGO JAUNA",https://www.youtube.com/watch?v=szWIvtdulw8,"1m 6s","16/07/2023"
122,"ATOZ JESUS GUZTIZ ONA NEREGANA",https://www.youtube.com/watch?v=6NyQSDyfX60,"2m 18s","23/07/2023"
123,"HOSTIAN BIZI ZERA",https://www.youtube.com/watch?v=3dDNRgdBWLo,"2m 50s","23/02/2025"
124,"OGIA TA ARDOA",https://www.youtube.com/watch?v=5SUPSnXulAQ,"1m 22s","09/02/2025"
125,"GOAZEN GUZTIOK JAINKOARENGANA",https://www.youtube.com/watch?v=0bS9VY8N5ZE,"1m 22s","16/02/2025"
126,"VENID Y VAMOS TODOS. MES DE MARIA EN CHILE (8 nov- 8 dic)/ AMA BIRJINAREN HILA TXILEN",https://www.youtube.com/watch?v=1VqZ5Ua40i8,"3m 42s","27/11/2022"
127,"MARIA GURE AMA",https://www.youtube.com/watch?v=r3vynDmzxcY,"1m 24s","02/03/2025"
128,"SANCTUS EUSKERAZ XI (HOSANNA GORA)",https://www.youtube.com/watch?v=5sFacIC2Zvk,"1m 25s","04/03/2025"
