index,title,link,duration,published
114,"ZUK EMAN JAUNA ARNAS BERRI",2A4MP1T56pk,"57s","02/04/2023"
115,"PIZTU ZAIGU GURE JAUNA",avHEV8yY9RE,"1m 20s","17/11/2024"
116,"ZABAL BIHOTZOK ERRUKIRAKO",GpQm05GjVBg,"1m 30s","13/01/2025"
117,"JESUS GURE JAUN MAITE AMODIOTSUA",n3uRHqo__PY,"1m 46s","23/03/2022"
118,"SALBA GAITZAZU ATOZ JAUNA",Y_ShpVGInH4,"3m 18s","01/12/2024"
119,"SANTA LUZIAREN BERTSOAK. ARRUITZ",f9UroW86wr0,"2m 30s","13/12/2021"
120,"MANUEL HUICI BERTSOTAN. SAN ROKE 2021. ARANO",HpVFrhJenSI,"6m 48s","16/08/2021"
121,"BERTAN DAGO JAUNA",szWIvtdulw8,"1m 6s","16/07/2023"
122,"ATOZ JESUS GUZTIZ ONA NEREGANA",6NyQSDyfX60,"2m 18s","23/07/2023"
123,"HOSTIAN BIZI ZERA",3dDNRgdBWLo,"2m 50s","23/02/2025"
124,"OGIA TA ARDOA",5SUPSnXulAQ,"1m 22s","09/02/2025"
125,"GOAZEN GUZTIOK JAINKOARENGANA",0bS9VY8N5ZE,"1m 22s","16/02/2025"
126,"VENID Y VAMOS TODOS. MES DE MARIA EN CHILE (8 nov- 8 dic)/ AMA BIRJINAREN HILA TXILEN",1VqZ5Ua40i8,"3m 42s","27/11/2022"
127,"MARIA GURE AMA",r3vynDmzxcY,"1m 24s","02/03/2025"
128,"SANCTUS EUSKERAZ XI (HOSANNA GORA)",5sFacIC2Zvk,"1m 25s","04/03/2025"
